Title,Author_Institution
Regulatory network of metformin on adipogenesis determined by combining high-throughput sequencing and GEO database,"[('Zhicong Zhao', 'https://www.researchgate.net/scientific-contributions/Zhicong-Zhao-2128801183', ' ', ' '), ('Chenxi Wang', 'https://www.researchgate.net/scientific-contributions/Chenxi-Wang-2185495421', ' ', ' '), ('Jue Jia', 'https://www.researchgate.net/scientific-contributions/Jue-Jia-81271797', ' ', ' '), ('Zhaoxiang Wang', 'https://www.researchgate.net/scientific-contributions/Zhaoxiang-Wang-2211398221', ' ', ' ')]"
Insights regarding sirtuin-dependent gene regulation during white koji production,"[('Taiki Futagami', 'https://www.researchgate.net/profile/Taiki-Futagami', 'Kagoshima University', 'https://www.researchgate.net/institution/Kagoshima-University'), ('Masatoshi Goto', 'https://www.researchgate.net/profile/Masatoshi-Goto', 'Saga University', 'https://www.researchgate.net/institution/Saga-University')]"
Regulation of flagellar motility and biosynthesis in enterohemorrhagic Escherichia coli O157:H7,"[('Hongmin Sun', 'https://www.researchgate.net/scientific-contributions/Hongmin-Sun-2228343064', ' ', ' '), ('Min Wang', 'https://www.researchgate.net/scientific-contributions/Min-Wang-2228335924', ' ', ' '), ('Yutao Liu', 'https://www.researchgate.net/profile/Yutao-Liu-2', 'Nankai University', 'https://www.researchgate.net/institution/Nankai-University'), ('Pan Wu', 'https://www.researchgate.net/profile/Pan-Wu-8', 'Jilin University', 'https://www.researchgate.net/institution/Jilin-University')]"
Global transcriptional responses of pneumococcus to human blood components and cerebrospinal fluid,"[('Jens Sivkær Pettersen', 'https://www.researchgate.net/scientific-contributions/Jens-Sivkaer-Pettersen-2143881862', ' ', ' '), ('Frida Fabricius Høg', 'https://www.researchgate.net/scientific-contributions/Frida-Fabricius-Hog-2239051596', ' ', ' '), ('Flemming Damgaard Nielsen', 'https://www.researchgate.net/scientific-contributions/Flemming-Damgaard-Nielsen-2171512279', ' ', ' '), ('Jakob Møller-Jensen', 'https://www.researchgate.net/profile/Jakob-Moller-Jensen', 'University of Southern Denmark', 'https://www.researchgate.net/institution/University_of_Southern_Denmark')]"
The histone acetyltransferase KAT6A is recruited to unmethylated CpG islands via a DNA binding winged helix domain,"[('Lisa Marie Weber', 'https://www.researchgate.net/profile/Lisa-Weber-16', 'Philipps University of Marburg', 'https://www.researchgate.net/institution/Philipps_University_of_Marburg'), ('Yulin Jia', 'https://www.researchgate.net/scientific-contributions/Yulin-Jia-2186952892', ' ', ' '), ('Bastian Stielow', 'https://www.researchgate.net/scientific-contributions/Bastian-Stielow-14357256', ' ', ' '), ('Stephen S Gisselbrecht', 'https://www.researchgate.net/scientific-contributions/Stephen-S-Gisselbrecht-2238962698', ' ', ' ')]"
A transposable element into the human long noncoding RNA CARMEN is a switch for cardiac precursor cell specification,"[('Isabelle Plaisance', 'https://www.researchgate.net/profile/Isabelle-Plaisance', 'Lausanne University Hospital', 'https://www.researchgate.net/institution/Lausanne-University-Hospital'), ('Panagiotis Chouvardas', 'https://www.researchgate.net/profile/Panagiotis-Chouvardas', 'Universität Bern', 'https://www.researchgate.net/institution/Universitaet_Bern'), ('Yuliangzi Sun', 'https://www.researchgate.net/scientific-contributions/Yuliangzi-Sun-2157215010', ' ', ' '), ('Mohamed Nemir', 'https://www.researchgate.net/profile/Mohamed-Nemir', 'Lausanne University Hospital', 'https://www.researchgate.net/institution/Lausanne-University-Hospital')]"
GENE REGULATION IN AGING,"[('Alexander Mendenhall', 'https://www.researchgate.net/scientific-contributions/Alexander-Mendenhall-2239040078', ' ', ' ')]"
Theoretical analysis of confinement mechanisms for epigenetic modifications of nucleosomes,"[('Jan Fabio Nickels', 'https://www.researchgate.net/scientific-contributions/Jan-Fabio-Nickels-2192790146', ' ', ' '), ('Kim Sneppen', 'https://www.researchgate.net/profile/Kim-Sneppen', 'University of Copenhagen', 'https://www.researchgate.net/institution/University_of_Copenhagen')]"
Allele-specific Effects of Three-dimensional Genome Architecture in Hybrid Pigs,"[('Mingzhou Li', 'https://www.researchgate.net/profile/Mingzhou-Li-3', 'Sichuan Agricultural University', 'https://www.researchgate.net/institution/Sichuan_Agricultural_University')]"
High-Throughput Discovery and Characterization of Viral Transcriptional Effectors in Human Cells,"[('Connor H Ludwig', 'https://www.researchgate.net/scientific-contributions/Connor-H-Ludwig-2159176276', ' ', ' '), ('Abby R Thurm', 'https://www.researchgate.net/scientific-contributions/Abby-R-Thurm-2238952736', ' ', ' '), ('David Morgens', 'https://www.researchgate.net/profile/David-Morgens', 'Stanford University', 'https://www.researchgate.net/institution/Stanford-University'), ('Kevin J Yang', 'https://www.researchgate.net/scientific-contributions/Kevin-J-Yang-2201596543', ' ', ' ')]"
