Title,Author_Institution
Support de cours du module : Manipulation génétique,"[('Laib Djamel Eddine', 'https://www.researchgate.net/profile/Laib-Djamel-Eddine', 'Université 20 août 1955-Skikda', 'https://www.researchgate.net/institution/Universite-20-aout-1955-Skikda')]"
Exploring the Genetic Differences Between Small Cell and Non-small Cell Lung Cancer Using Bioinformatic Approaches: A Preliminary Study,"[('Fazlin Mohd Fauzi', 'https://www.researchgate.net/profile/Fazlin-Fauzi-3', 'Universiti Teknologi MARA', 'https://www.researchgate.net/institution/Universiti-Teknologi-MARA2'), ('Muhammad Amru Nazri', 'https://www.researchgate.net/scientific-contributions/Muhammad-Amru-Nazri-2238949262', ' ', ' '), ('Faris Aizat', 'https://www.researchgate.net/scientific-contributions/Faris-Aizat-2238952196', ' ', ' '), ('Muhamad Harith Zulkifli', 'https://www.researchgate.net/scientific-contributions/Muhamad-Harith-Zulkifli-2238937618', ' ', ' ')]"
A Lexicostatistical Study of Waray Dialects,"[('Voltaire Q. Oyzon', 'https://www.researchgate.net/profile/Voltaire-Oyzon', 'Leyte Normal University', 'https://www.researchgate.net/institution/Leyte-Normal-University')]"
"RNA, the epicenter of genetic information: wirtten by John Mattick and Paulo Amaral, CRC Press, Boca Raton, 2022","[('Witold Filipowicz', 'https://www.researchgate.net/profile/Witold-Filipowicz', 'Friedrich Miescher Institute for Biomedical Research', 'https://www.researchgate.net/institution/Friedrich_Miescher_Institute_for_Biomedical_Research')]"
"ATLETİK PERFORMANS, GENETİK ve EPİGENETİK/ ATHLETIC PERFORMANCE, GENETICS, and EPIGENETICS","[('Celal Bulgay', 'https://www.researchgate.net/profile/Celal-Bulgay', 'Gazi University', 'https://www.researchgate.net/institution/Gazi-University')]"
"Genetic Variability, Correlation and Path Analysis in Mungbean (Vigna radiata (L.) Wilczek)",[]
Genetic Engineering- the future of Food and Medicine,"[('Zakaria Ahmed', 'https://www.researchgate.net/profile/Zakaria-Ahmed-4', 'Bangladesh Jute Research Institute', 'https://www.researchgate.net/institution/Bangladesh_Jute_Research_Institute')]"
A new species of Lactarius sect. Uvidi (Russulaceae) from India,"[('Ishika Bera', 'https://www.researchgate.net/profile/Ishika-Bera-2', 'Botanical Survey of India', 'https://www.researchgate.net/institution/Botanical_Survey_of_India'), ('Kanad Das', 'https://www.researchgate.net/profile/Kanad-Das', 'Botanical Survey of India', 'https://www.researchgate.net/institution/Botanical_Survey_of_India'), ('Bejoysekhar Datta', 'https://www.researchgate.net/profile/Bejoysekhar-Datta', 'University of Kalyani', 'https://www.researchgate.net/institution/University-of-Kalyani')]"
Ormancılık ve Genetik Mühendislik Uygulamaları,[]
"Peran Sumber Ortet, Nomor Daun dan Waktu Inkubasi Terhadap Hasil Kalus Kelapa Sawit (Elaeis guineensis Jacq.)","[('Ernayunita Ernayunita', 'https://www.researchgate.net/profile/Ernayunita-Ernayunita', 'Indonesian Oil Palm Research Institute', 'https://www.researchgate.net/institution/Indonesian_Oil_Palm_Research_Institute'), ('Retno Setiowati', 'https://www.researchgate.net/profile/Retno-Setiowati', 'Indonesian Oil Palm Research Institute', 'https://www.researchgate.net/institution/Indonesian_Oil_Palm_Research_Institute'), ('Hernawan Rahmadi', 'https://www.researchgate.net/profile/Hernawan-Rahmadi', 'Indonesian Oil Palm Research Institute', 'https://www.researchgate.net/institution/Indonesian_Oil_Palm_Research_Institute'), ('Erwin Nazri', 'https://www.researchgate.net/scientific-contributions/Erwin-Nazri-2174074117', ' ', ' ')]"
