Title,Author_Institution
Genomic Distance-based Rapid Uncovering of Microbial Population Structures (GRUMPS): a reference free genomic data cleaning methodology,"[('Kaleb Z. Abram', 'https://www.researchgate.net/profile/Kaleb-Abram', 'University of Arkansas for Medical Sciences', 'https://www.researchgate.net/institution/University-of-Arkansas-for-Medical-Sciences'), ('Zulema Udaondo', 'https://www.researchgate.net/profile/Zulema-Udaondo', 'University of Arkansas for Medical Sciences', 'https://www.researchgate.net/institution/University-of-Arkansas-for-Medical-Sciences'), ('Intawat Nookaew', 'https://www.researchgate.net/profile/Intawat-Nookaew', 'University of Arkansas for Medical Sciences', 'https://www.researchgate.net/institution/University-of-Arkansas-for-Medical-Sciences'), ('Michael Scott Robeson', 'https://www.researchgate.net/profile/Michael-Robeson', 'University of Arkansas for Medical Sciences', 'https://www.researchgate.net/institution/University-of-Arkansas-for-Medical-Sciences')]"
A Review of the CRISPR/Cas System and Its Potential for Early Cancer Diagnosis,"[('Ikalo Oseghale', 'https://www.researchgate.net/profile/Ikalo-Oseghale', 'University of Benin', 'https://www.researchgate.net/institution/University-of-Benin'), ('Imade Omoregie', 'https://www.researchgate.net/scientific-contributions/Imade-Omoregie-2239035268', ' ', ' '), ('Ushiobafoh Godday', 'https://www.researchgate.net/scientific-contributions/Ushiobafoh-Godday-2238416722', ' ', ' '), ('Virtue Oniso Okhemukhokho', 'https://www.researchgate.net/profile/Virtue-Okhemukhokho', 'University of Essex', 'https://www.researchgate.net/institution/University-of-Essex')]"
APPLYING NEW METHODS TO EXISTING DATASETS TO TEST STRESS EFFECTS ON BIOLOGICAL AGING,"[('Daisy Zavala', 'https://www.researchgate.net/profile/Daisy-Zavala-2', 'Stony Brook University', 'https://www.researchgate.net/institution/Stony-Brook-Medicine'), ('Natalie Dzikowski', 'https://www.researchgate.net/scientific-contributions/Natalie-Dzikowski-2239064082', ' ', ' '), ('Shyamie Gopalan', 'https://www.researchgate.net/scientific-contributions/Shyamie-Gopalan-2239026617', ' ', ' '), ('Kerry Reid', 'https://www.researchgate.net/scientific-contributions/Kerry-Reid-2239037110', ' ', ' ')]"
"Classification and challenges in the histopathological diagnosis of peripheral T-cell lymphomas, emphasis on the WHO-HAEM5 updates","[('Carlos Murga-Zamalloa', 'https://www.researchgate.net/profile/Carlos-Murga-Zamalloa', 'University of Illinois at Chicago', 'https://www.researchgate.net/institution/University_of_Illinois_at_Chicago'), ('Kedar Inamdar', 'https://www.researchgate.net/scientific-contributions/Kedar-Inamdar-2238887734', ' ', ' ')]"
"Retroperitoneal liposarcoma and craniosynostosis: possible genomic relationship, case report, and literature review","[('Raffaella Maria Sguinzi', 'https://www.researchgate.net/scientific-contributions/Raffaella-Maria-Sguinzi-2238955919', ' ', ' '), ('Souria Aissaoui', 'https://www.researchgate.net/scientific-contributions/Souria-Aissaoui-2238932532', ' ', ' '), ('Muriel Genevay-Infante', 'https://www.researchgate.net/scientific-contributions/Muriel-Genevay-Infante-2238952280', ' ', ' '), ('Romain Breguet', 'https://www.researchgate.net/scientific-contributions/Romain-Breguet-2238938830', ' ', ' ')]"
Case report: Variable response to immunotherapy in ovarian cancer: Our experience within the current state of the art,"[('Nicoletta Provinciali', 'https://www.researchgate.net/profile/Nicoletta-Provinciali', 'Galliera Hospital', 'https://www.researchgate.net/institution/Galliera-Hospital'), ('Marco Greppi', 'https://www.researchgate.net/profile/Marco-Greppi', 'Università degli Studi di Genova', 'https://www.researchgate.net/institution/Universita-degli-Studi-di-Genova'), ('Silvia Pesce', 'https://www.researchgate.net/profile/Silvia-Pesce', 'Università degli Studi di Genova', 'https://www.researchgate.net/institution/Universita-degli-Studi-di-Genova'), ('Mariangela Rutigliani', 'https://www.researchgate.net/profile/Mariangela-Rutigliani', 'Galliera Hospital', 'https://www.researchgate.net/institution/Galliera-Hospital')]"
Comparing Genetic Risk and Clinical Risk Classification in Luminal-like Breast Cancer Patients Using a 23-Gene Classifier,"[('Chi-Cheng Huang', 'https://www.researchgate.net/profile/Chi-Cheng-Huang-3', 'Cathay General Hospital', 'https://www.researchgate.net/institution/Cathay_General_Hospital'), ('Ting-Hao Chen', 'https://www.researchgate.net/profile/Ting-Hao-Chen', 'National Taiwan University', 'https://www.researchgate.net/institution/National-Taiwan-University'), ('Liang-Chih Liu', 'https://www.researchgate.net/scientific-contributions/Liang-Chih-Liu-55700367', ' ', ' '), ('C. F. Huang', 'https://www.researchgate.net/profile/C-F-Huang', 'National Taiwan University', 'https://www.researchgate.net/institution/National-Taiwan-University')]"
Hybridization in late stages of speciation: strong but incomplete genome-wide reproductive isolation and “large Z-effect” in a moving hybrid zone,"[('Guilherme Caeiro-Dias', 'https://www.researchgate.net/profile/Guilherme-Caeiro-Dias', 'University of New Mexico', 'https://www.researchgate.net/institution/University-of-New-Mexico'), ('Alan Brelsford', 'https://www.researchgate.net/profile/Alan-Brelsford', 'University of California, Riverside', 'https://www.researchgate.net/institution/University-of-California-Riverside'), ('Mariana Meneses-Ribeiro', 'https://www.researchgate.net/scientific-contributions/Mariana-Meneses-Ribeiro-2183663684', ' ', ' '), ('Pierre-André Crochet', 'https://www.researchgate.net/profile/Pierre-Andre-Crochet', 'French National Centre for Scientific Research', 'https://www.researchgate.net/institution/French-National-Centre-for-Scientific-Research')]"
Joint learning sample similarity and correlation representation for cancer survival prediction,"[('Yaru Hao', 'https://www.researchgate.net/scientific-contributions/Yaru-Hao-2230173019', ' ', ' '), ('Xiao-Yuan Jing', 'https://www.researchgate.net/scientific-contributions/Xiao-Yuan-Jing-51205590', ' ', ' '), ('Qixing Sun', 'https://www.researchgate.net/scientific-contributions/Qixing-Sun-2230073321', ' ', ' ')]"
Detection of PatIent-Level distances from single cell genomics and pathomics data with Optimal Transport (PILOT),"[('Mehdi Joodaki', 'https://www.researchgate.net/profile/Mehdi-Joodaki', 'RWTH Aachen University', 'https://www.researchgate.net/institution/RWTH-Aachen-University'), ('Mina Shaigan', 'https://www.researchgate.net/scientific-contributions/Mina-Shaigan-2238947437', ' ', ' '), ('Victor Parra', 'https://www.researchgate.net/scientific-contributions/Victor-Parra-2238941429', ' ', ' '), ('Roman D. Buelow', 'https://www.researchgate.net/scientific-contributions/Roman-David-Buelow-2097792708', ' ', ' ')]"
Integrative chromatin domain annotation through graph embedding of Hi-C data,"[('Neda Shokraneh', 'https://www.researchgate.net/scientific-contributions/Neda-Shokraneh-2219358111', ' ', ' '), ('Mariam Arab', 'https://www.researchgate.net/scientific-contributions/Mariam-Arab-2219369776', ' ', ' '), ('Maxwell Libbrecht', 'https://www.researchgate.net/scientific-contributions/Maxwell-W-Libbrecht-2066523096', ' ', ' ')]"
SIMplyBee: R package for simulating honeybee populations and breeding programs,"[('Jana Obšteter', 'https://www.researchgate.net/profile/Jana-Obsteter', 'Agricultural institute of Slovenia - Kmetijski inštitut Slovenije', 'https://www.researchgate.net/institution/Agricultural_institute_of_Slovenia-Kmetijski_institut_Slovenije'), ('Laura Kirsty Strachan', 'https://www.researchgate.net/scientific-contributions/Laura-Kirsty-Strachan-2238943669', ' ', ' '), ('Jernej Bubnič', 'https://www.researchgate.net/profile/Jernej-Bubnic', 'Agricultural institute of Slovenia - Kmetijski inštitut Slovenije', 'https://www.researchgate.net/institution/Agricultural_institute_of_Slovenia-Kmetijski_institut_Slovenije'), ('Janez Presern', 'https://www.researchgate.net/scientific-contributions/Janez-Presern-30423619', ' ', ' ')]"
Corresponding Author FOXA1 expression in Iraqi women with ER+ breast cancer,"[('Al', 'https://www.researchgate.net/scientific-contributions/Al-2238722232', ' ', ' '), ('Iman H Albedairy', 'https://www.researchgate.net/scientific-contributions/Iman-H-Albedairy-2238739184', ' ', ' '), ('A. H. M. AL-Faisal', 'https://www.researchgate.net/profile/A-Al-Faisal', 'Institue of Genetic Engineering and Biotechnology-University of Baghdad', ' ')]"
